external_id,source,name,category,equipment_json,primary_muscles_json,secondary_muscles_json,gif_rel_path,axes_json
oROuvrX,ExerciseDB,lever unilateral row,back,"[""machine""]","[""upper_back""]","[""biceps"",""forearms""]",gif/oROuvrX.gif,"{""category"":""back"",""equipment"":[""machine""],""muscles"":[""upper_back""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""pull"",""engine_key"":""back_pull_external""}"
84sESNy,ExerciseDB,dumbbell seated one arm bicep curl on exercise ball with leg raised,arms_upper,"[""dumbbell""]","[""biceps""]","[""forearms"",""shoulders""]",gif/84sESNy.gif,"{""category"":""arms_upper"",""equipment"":[""dumbbell""],""muscles"":[""biceps""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
EmlJR2y,ExerciseDB,dumbbell standing one arm curl over incline bench,arms_upper,"[""dumbbell""]","[""biceps""]","[""forearms""]",gif/EmlJR2y.gif,"{""category"":""arms_upper"",""equipment"":[""dumbbell""],""muscles"":[""biceps""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
isofgzg,ExerciseDB,roller back stretch,back,"[""roller""]","[""spine""]","[""hamstrings"",""gluteus""]",gif/isofgzg.gif,"{""category"":""back"",""equipment"":[""roller""],""muscles"":[""spine""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""back_other_external""}"
IENzBdA,ExerciseDB,barbell drag curl,arms_upper,"[""barbell""]","[""biceps""]","[""forearms""]",gif/IENzBdA.gif,"{""category"":""arms_upper"",""equipment"":[""barbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
PDaMuyV,ExerciseDB,dumbbell one arm incline chest press,chest,"[""dumbbell""]","[""pectorals""]","[""shoulders"",""triceps""]",gif/PDaMuyV.gif,"{""category"":""chest"",""equipment"":[""dumbbell""],""muscles"":[""pectorals""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""chest_push_external""}"
rEhi2o5,ExerciseDB,dumbbell lying supination on floor,arms_lower,"[""dumbbell""]","[""forearms""]","[""biceps"",""shoulders""]",gif/rEhi2o5.gif,"{""category"":""arms_lower"",""equipment"":[""dumbbell""],""muscles"":[""forearms""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""arms_lower_other_external""}"
OM46QHm,ExerciseDB,cable pull through (with rope),legs_upper,"[""cable""]","[""gluteus""]","[""hamstrings"",""lower_back""]",gif/OM46QHm.gif,"{""category"":""legs_upper"",""equipment"":[""cable""],""muscles"":[""gluteus""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""pull"",""engine_key"":""legs_upper_pull_external""}"
TVdivgY,ExerciseDB,dumbbell incline alternate press,chest,"[""dumbbell""]","[""pectorals""]","[""shoulders"",""triceps""]",gif/TVdivgY.gif,"{""category"":""chest"",""equipment"":[""dumbbell""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""chest_push_external""}"
TXtXc84,ExerciseDB,cable tuck reverse crunch,core,"[""cable""]","[""abdominals""]","[""hip_flexors""]",gif/TXtXc84.gif,"{""category"":""core"",""equipment"":[""cable""],""muscles"":[""abdominals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""core_other_external""}"
euI1BwR,ExerciseDB,barbell speed squat,legs_upper,"[""barbell""]","[""gluteus""]","[""quadriceps"",""hamstrings"",""gastrocnemius""]",gif/euI1BwR.gif,"{""category"":""legs_upper"",""equipment"":[""barbell""],""muscles"":[""gluteus""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""squat"",""engine_key"":""legs_upper_squat_external""}"
ykHcWme,ExerciseDB,sled calf press on leg press,legs_lower,"[""machine""]","[""gastrocnemius""]","[""hamstrings"",""quadriceps""]",gif/ykHcWme.gif,"{""category"":""legs_lower"",""equipment"":[""machine""],""muscles"":[""gastrocnemius""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""legs_lower_push_external""}"
0S75mYG,ExerciseDB,smith seated one leg calf raise,legs_lower,"[""machine""]","[""gastrocnemius""]","[""hamstrings""]",gif/0S75mYG.gif,"{""category"":""legs_lower"",""equipment"":[""machine""],""muscles"":[""gastrocnemius""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""legs_lower_other_external""}"
Y5X65IB,ExerciseDB,ez barbell reverse grip curl,arms_upper,"[""barbell""]","[""biceps""]","[""forearms""]",gif/Y5X65IB.gif,"{""category"":""arms_upper"",""equipment"":[""barbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
EcaV7aL,ExerciseDB,barbell lying close-grip press,arms_upper,"[""barbell""]","[""triceps""]","[""chest"",""shoulders""]",gif/EcaV7aL.gif,"{""category"":""arms_upper"",""equipment"":[""barbell""],""muscles"":[""triceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""arms_upper_push_external""}"
EZeDVzO,ExerciseDB,weighted decline sit-up,core,"[""weighted""]","[""abdominals""]","[""hip_flexors"",""lower_back""]",gif/EZeDVzO.gif,"{""category"":""core"",""equipment"":[""weighted""],""muscles"":[""abdominals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""core_other_external""}"
SSsBDwB,ExerciseDB,dumbbell rear lunge,legs_upper,"[""dumbbell""]","[""gluteus""]","[""quadriceps"",""hamstrings"",""gastrocnemius""]",gif/SSsBDwB.gif,"{""category"":""legs_upper"",""equipment"":[""dumbbell""],""muscles"":[""gluteus""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""squat"",""engine_key"":""legs_upper_squat_external""}"
2qTvJAZ,ExerciseDB,barbell standing back wrist curl,arms_lower,"[""barbell""]","[""forearms""]","[""biceps"",""shoulders""]",gif/2qTvJAZ.gif,"{""category"":""arms_lower"",""equipment"":[""barbell""],""muscles"":[""forearms""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_lower_isolation_external""}"
FxhcxUW,ExerciseDB,dumbbell seated one leg calf raise - hammer grip,legs_lower,"[""dumbbell""]","[""gastrocnemius""]","[""hamstrings"",""gluteus""]",gif/FxhcxUW.gif,"{""category"":""legs_lower"",""equipment"":[""dumbbell""],""muscles"":[""gastrocnemius""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""legs_lower_other_external""}"
u0pLNgz,ExerciseDB,sled one leg calf press on leg press,legs_lower,"[""machine""]","[""gastrocnemius""]","[""hamstrings"",""gluteus""]",gif/u0pLNgz.gif,"{""category"":""legs_lower"",""equipment"":[""machine""],""muscles"":[""gastrocnemius""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""legs_lower_push_external""}"
RoV1Rfa,ExerciseDB,assisted seated pectoralis major stretch with stability ball,chest,"[""assisted""]","[""pectorals""]","[""shoulders"",""triceps""]",gif/RoV1Rfa.gif,"{""category"":""chest"",""equipment"":[""assisted""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""chest_other_external""}"
1LVFcEn,ExerciseDB,calf stretch with rope,legs_lower,"[""rope""]","[""gastrocnemius""]","[""hamstrings""]",gif/1LVFcEn.gif,"{""category"":""legs_lower"",""equipment"":[""rope""],""muscles"":[""gastrocnemius""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""legs_lower_other_external""}"
kmVVAfu,ExerciseDB,band concentration curl,arms_upper,"[""band""]","[""biceps""]","[""forearms""]",gif/kmVVAfu.gif,"{""category"":""arms_upper"",""equipment"":[""band""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""elastic"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_elastic""}"
2kr2lWy,ExerciseDB,push-up (bosu ball),chest,"[""ball""]","[""pectorals""]","[""triceps"",""shoulders"",""abdominals""]",gif/2kr2lWy.gif,"{""category"":""chest"",""equipment"":[""ball""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""chest_push_external""}"
oZjMu1t,ExerciseDB,tire flip,legs_upper,"[""tire""]","[""gluteus""]","[""hamstrings"",""quadriceps"",""abdominals""]",gif/oZjMu1t.gif,"{""category"":""legs_upper"",""equipment"":[""tire""],""muscles"":[""gluteus""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""legs_upper_other_external""}"
BU15nH4,ExerciseDB,dumbbell alternate biceps curl,arms_upper,"[""dumbbell""]","[""biceps""]","[""forearms""]",gif/BU15nH4.gif,"{""category"":""arms_upper"",""equipment"":[""dumbbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
